SKU,Name,Meta: _wc_gla_synced_at,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
598TT3,Thule 3x T-Track Screws For 598 Bike (598TT3),1671721660,BRAND,Thule,1,1
990600,Thule 7 to 13 Pin Adapter Car Electrical Outlet (990600),1671721660,BRAND,Thule,1,1
990700,Thule 13-pin to 7-pin adapter (990700),1671721660,BRAND,Thule,1,1
933300,Thule EasyFold XT 2-bike platform towbar bike rack (933300),1671721660,BRAND,Thule,1,1
934300,Thule EasyFold XT 3-bike platform towbar bike rack (934300),1671721660,BRAND,Thule,1,1
710410,Thule EVO Footpack for raised rails (710410),1671721660,BRAND,Thule,1,1
532002,Thule FreeRide Roof Top Bike Rack (532002),1671721660,BRAND,Thule,1,1
840003,Thule K-Guard (840003),,BRAND,Thule,1,1
995001,Thule OutWay Hanging 3 (995001),1671721660,BRAND,Thule,1,1
993001,Thule OutWay Platform 2 (993001),1671721660,BRAND,Thule,1,1
598002,Black Thule ProRide Bike Rack Carrier (598002),1671721660,BRAND,Thule,1,1
598001,Thule ProRide Bike Rack Silver (598001),1671721660,BRAND,Thule,1,1
838000,Thule QuickDraw Ratchet (838000),1671721660,BRAND,Thule,1,1
753000,Thule Rapid System 753 foot pack (753000),1671721660,BRAND,Thule,1,1
524000,Thule Strap 2x275cm (524000),1671721660,BRAND,Thule,1,1
523000,Thule Strap 2x400cm (523000),1671721662,BRAND,Thule,1,1
521000,Thule Strap 275cm (521000),1671721662,BRAND,Thule,1,1
957000,Thule towbar Lock (957000),1671721662,BRAND,Thule,1,1
889101,Thule T-track Adapter (889101),1671721662,BRAND,Thule,1,1
924021,Thule VeloCompact 2 13-Pin Bike Rack (924021),1671721662,BRAND,Thule,1,1
926021,Thule VeloCompact 3 Bike Rack Carrier (926021),1671721662,BRAND,Thule,1,1
926101,Thule VeloCompact 4th Bike Adapter (926101),1671721662,BRAND,Thule,1,1
970003,Thule Xpress 2 Towbar Bike Carrier (970003),1671721662,BRAND,Thule,1,1
